Temps,Voie A,Voie B,Voie C
(ns),(mV),(mV),(mV)

1144000,0,1,1
1145000,0,0,-1
1146000,0,0,0
1147000,0,1,0
1148000,0,0,0
1149000,0,1,0
1150000,0,0,0
1151000,0,1,0
1152000,0,1,0
1153000,0,0,1
1154000,0,0,0
1155000,0,0,1
1156000,0,1,0
1157000,0,1,1
1158000,0,0,1
1159000,0,0,0
1160000,0,1,0
1161000,0,0,0
1162000,0,0,0
1163000,0,-1,0
1164000,0,0,1
1165000,0,1,1
1166000,0,1,0
1167000,1,0,0
1168000,0,0,1
1169000,0,0,1
1170000,0,3,0
1171000,0,1,3
1172000,0,0,0
1173000,0,1,1
1174000,0,1,1
1175000,0,0,0
1176000,0,0,1
1177000,0,1,0
1178000,0,0,0
1179000,0,0,1
1180000,0,0,1
1181000,1,0,0
1182000,0,1,3
1183000,0,0,0
1184000,0,1,0
1185000,0,0,0
1186000,0,1,0
1187000,1,0,0
1188000,1,0,0
1189000,0,0,0
1190000,0,0,0
1191000,0,0,0
1192000,0,0,0
1193000,0,1,0
1194000,0,0,0
1195000,0,0,0
1196000,-1,0,0
1197000,0,1,0
1198000,0,0,1
1199000,0,0,0
1200000,-1,0,0
1201000,0,0,0
1202000,0,0,0
1203000,0,1,1
1204000,1,0,0
1205000,0,1,1
1206000,0,0,0
1207000,0,0,1
1208000,0,-1,0
1209000,0,0,0
1210000,0,1,0
1211000,0,1,0
1212000,0,0,0
1213000,0,0,0
1214000,-1,1,1
1215000,0,1,0
1216000,0,0,0
1217000,0,0,0
1218000,0,0,0
1219000,0,1,0
1220000,0,0,0
1221000,0,1,0
1222000,0,0,1
1223000,0,1,0
1224000,0,1,0
1225000,0,0,0
1226000,0,0,0
1227000,0,0,0
1228000,0,0,0
1229000,0,0,1
1230000,0,0,0
1231000,-1,0,0
1232000,0,0,0
1233000,0,1,0
1234000,0,0,1
1235000,0,1,0
1236000,-1,0,0
1237000,0,0,1
1238000,0,0,-1
1239000,-1,0,0
1240000,0,0,0
1241000,0,0,1
1242000,0,1,1
1243000,0,1,0
1244000,-1,1,1
1245000,0,0,0
1246000,1,0,-1
1247000,0,1,0
1248000,0,0,0
1249000,0,0,-1
1250000,-1,0,0
1251000,0,0,0
1252000,0,0,0
1253000,0,0,0
1254000,0,1,0
1255000,0,0,0
1256000,0,0,0
1257000,0,1,0
1258000,0,0,0
1259000,0,0,0
1260000,0,-1,0
1261000,0,0,0
1262000,0,0,0
1263000,0,0,0
1264000,0,1,0
1265000,0,0,0
1266000,0,0,0
1267000,0,0,0
1268000,0,1,0
1269000,0,0,1
1270000,0,0,0
1271000,0,0,0
1272000,0,1,0
1273000,0,0,1
1274000,0,1,0
1275000,0,0,0
1276000,0,0,1
1277000,0,1,0
1278000,-1,0,0
1279000,0,0,0
1280000,0,1,0
1281000,0,0,0
